scope,weighting,a,b,a_less_pct,ties_pct,a_greater_pct,a_auc
Rural India,person_weight,SC,ST,43.52270470390357,0.014406223274971599,56.46288907282147,0.5647009218445895
Rural India,person_weight,SC,Others,62.65869132636508,0.013417975210703866,37.32789069842423,0.3733459968602958
Rural India,person_weight,ST,Brahmin,62.939951111890814,0.012128478089862713,37.047920410019316,0.37053984649064253
Rural India,person_weight,ST,Forward/General,64.10811861744618,0.013383527669285267,35.878497854884536,0.35885189618719177
Rural India,person_weight,ST,OBC,56.629082367135176,0.014304688020816664,43.356612944843995,0.43363765288854406
Rural India,person_weight,ST,SC,56.46288907282142,0.014406223274971406,43.52270470390359,0.4352990781554108
Rural India,person_weight,ST,ST,49.957955142222346,0.08408971555515413,49.95795514222249,0.5000000000000007
Rural India,person_weight,ST,Others,66.62920119991644,0.012004575379434803,33.358794224704106,0.3336479651239382
Rural India,person_weight,Others,Brahmin,44.63712416730902,0.007621349279689945,55.3552544834113,0.5535906515805115
Rural India,person_weight,Others,Forward/General,45.42932958005919,0.01177490932035197,54.55889551062045,0.5456478296528063
Rural India,person_weight,Others,OBC,38.354935034527855,0.012113513518135813,61.632951451954,0.6163900820871306
Rural India,person_weight,Others,SC,37.32789069842434,0.013417975210703505,62.65869132636496,0.6266540031397031
Rural India,person_weight,Others,ST,33.35879422470393,0.012004575379434848,66.62920119991664,0.6663520348760635
Rural India,person_weight,Others,Others,49.65646682784879,0.6870663443024196,49.656466827848796,0.5
Bihar,weight,Brahmin,Brahmin,48.76704882446019,2.465902351079606,48.76704882446022,0.5000000000000002
Bihar,weight,Brahmin,Forward/General,41.686894624716615,0.03604006390123879,58.27706531138216,0.5829508534333278
Bihar,weight,Brahmin,OBC,37.9985107178227,0.048337651047198144,61.95315163113011,0.6197732045665371
Bihar,weight,Brahmin,SC,31.582472143740098,0.011352449850110503,68.4061754064098,0.6841185163133486
Bihar,weight,Brahmin,ST,30.591721270498766,0.08559323495109523,69.32268549455014,0.6936548211202569
Bihar,weight,Forward/General,Brahmin,58.277065311382195,0.03604006390123889,41.68689462471659,0.4170491465666721
Bihar,weight,Forward/General,Forward/General,49.58234027971947,0.8353194405611337,49.58234027971941,0.4999999999999998
Bihar,weight,Forward/General,OBC,46.9322016882746,0.022668859135841744,53.04512945258957,0.5305646388215749
Bihar,weight,Forward/General,SC,40.09878062621339,0.04462228841811112,59.85659708536851,0.5987890822957757
Bihar,weight,Forward/General,ST,38.13849917811819,0.1114301591883908,61.750070662693446,0.6180578574228764
Bihar,weight,OBC,Brahmin,61.9531516311303,0.04833765104719891,37.998510717822484,0.3802267954334609
Bihar,weight,OBC,Forward/General,53.0451294525897,0.02266885913584183,46.932201688274446,0.46943536117842366
Bihar,weight,OBC,OBC,49.8846849331535,0.23063013369313498,49.884684933153345,0.4999999999999991
Bihar,weight,OBC,SC,42.23407713932532,0.04451064995396657,57.7214122107207,0.5774366753569768
Bihar,weight,OBC,ST,40.23665113948668,0.062284076451958374,59.70106478406135,0.5973220682228734
Bihar,weight,SC,Brahmin,68.4061754064097,0.011352449850110458,31.58247214374019,0.3158814836866525
Bihar,weight,SC,Forward/General,59.85659708536842,0.04462228841811098,40.09878062621346,0.4012109177042251
Bihar,weight,SC,OBC,57.72141221072067,0.04451064995396624,42.23407713932537,0.42256332464302354
Bihar,weight,SC,SC,49.722781042033745,0.5544379159323992,49.722781042033866,0.5000000000000007
Bihar,weight,SC,ST,47.18654176674348,0.0744051459187855,52.73905308733773,0.5277625566029712
Bihar,weight,ST,Brahmin,69.32268549455016,0.0855932349510952,30.591721270498766,0.30634517887974316
Bihar,weight,ST,Forward/General,61.75007066269346,0.11143015918839096,38.138499178118174,0.38194214257712367
Bihar,weight,ST,OBC,59.70106478406143,0.06228407645195841,40.23665113948664,0.4026779317771262
Bihar,weight,ST,SC,52.73905308733768,0.07440514591878568,47.18654176674356,0.4722374433970295
Bihar,weight,ST,ST,47.31549719762562,5.369005604748799,47.31549719762561,0.5000000000000001
Bihar,person_weight,Brahmin,Brahmin,48.28142159577688,3.437156808446272,48.28142159577686,0.5
Bihar,person_weight,Brahmin,Forward/General,42.08587750781157,0.015852668521072835,57.89826982366737,0.579061961579279
Bihar,person_weight,Brahmin,OBC,36.99710392507713,0.023941987315575564,62.9789540876073,0.6299092508126508
Bihar,person_weight,Brahmin,SC,30.039268208609442,0.001826709672575488,69.95890508171799,0.6995981843655427
Bihar,person_weight,Brahmin,ST,30.207303284872612,0.013033213404384665,69.77966350172301,0.697861801084252
Bihar,person_weight,Forward/General,Brahmin,57.89826982366743,0.015852668521072946,42.08587750781152,0.4209380384207206
Bihar,person_weight,Forward/General,Forward/General,49.513735208689546,0.972529582621009,49.513735208689475,0.4999999999999998
Bihar,person_weight,Forward/General,OBC,45.49901081485986,0.015060302231176924,54.485928882908986,0.5449345903402457
Bihar,person_weight,Forward/General,SC,38.17738959122337,0.034220124601187375,61.78839028417546,0.6180550034647606
Bihar,person_weight,Forward/General,ST,38.15389533766626,0.09403216446218442,61.752072497871566,0.6179908858010266
Bihar,person_weight,OBC,Brahmin,62.9789540876075,0.02394198731557612,36.997103925076935,0.37009074918734725
