outcome,group,value,percent
owned_land_acres,Others,5.09,92.79028540908813
owned_land_acres,Others,5.1,92.83957402425186
owned_land_acres,Others,5.11,92.84279694518855
owned_land_acres,Others,5.12,92.90990778434562
owned_land_acres,Others,5.13,92.9233081742008
owned_land_acres,Others,5.14,92.95204404517345
owned_land_acres,Others,5.15,93.03438217169095
owned_land_acres,Others,5.16,93.05620298634024
owned_land_acres,Others,5.17,93.07540308098915
owned_land_acres,Others,5.18,93.07775651609059
owned_land_acres,Others,5.19,93.07819025498301
owned_land_acres,Others,5.2,93.11914310475868
owned_land_acres,Others,5.21,93.1353855553194
owned_land_acres,Others,5.22,93.19807354292611
owned_land_acres,Others,5.23,93.23268296140022
owned_land_acres,Others,5.24,93.24575737773594
owned_land_acres,Others,5.25,93.24898364542335
owned_land_acres,Others,5.26,93.25017998832024
owned_land_acres,Others,5.27,93.25575433630794
owned_land_acres,Others,5.28,93.26524706003052
owned_land_acres,Others,5.29,93.26695055614348
owned_land_acres,Others,5.3,93.28763548360072
owned_land_acres,Others,5.31,93.30316842301026
owned_land_acres,Others,5.32,93.3052126183458
owned_land_acres,Others,5.34,93.31362835768893
owned_land_acres,Others,5.35,93.34098068191679
owned_land_acres,Others,5.36,93.37844956420014
owned_land_acres,Others,5.37,93.38187663693034
owned_land_acres,Others,5.4,93.38480303575385
owned_land_acres,Others,5.41,93.38726289752796
owned_land_acres,Others,5.42,93.42099145121439
owned_land_acres,Others,5.43,93.42204166158815
owned_land_acres,Others,5.44,93.42843127804956
owned_land_acres,Others,5.45,93.4295705119923
owned_land_acres,Others,5.46,93.43095272003681
owned_land_acres,Others,5.47,93.44379955732404
owned_land_acres,Others,5.48,93.44787857709314
owned_land_acres,Others,5.49,93.44851512907877
owned_land_acres,Others,5.5,93.46111674324776
owned_land_acres,Others,5.51,93.49390820673453
owned_land_acres,Others,5.52,93.5451844437598
owned_land_acres,Others,5.53,93.57424294150117
owned_land_acres,Others,5.54,93.58293378375289
owned_land_acres,Others,5.55,93.60466222808249
owned_land_acres,Others,5.56,93.60915892234058
owned_land_acres,Others,5.57,93.61383232503633
owned_land_acres,Others,5.58,93.62289532596736
owned_land_acres,Others,5.59,93.62664435611615
owned_land_acres,Others,5.6,93.63098308374059
owned_land_acres,Others,5.61,93.6349396124336
owned_land_acres,Others,5.63,93.6427161223905
owned_land_acres,Others,5.64,93.64594105137763
owned_land_acres,Others,5.66,93.66574645274748
owned_land_acres,Others,5.67,93.68351769903394
owned_land_acres,Others,5.68,93.69523668133087
owned_land_acres,Others,5.69,93.69728757016784
owned_land_acres,Others,5.7,93.70000780914744
owned_land_acres,Others,5.72,93.71034324469957
owned_land_acres,Others,5.74,93.71660434593359
owned_land_acres,Others,5.75,93.71713714864711
owned_land_acres,Others,5.76,93.72450000021588
owned_land_acres,Others,5.78,93.72510777014537
owned_land_acres,Others,5.8,93.72800605626291
